Root,Akkadian_Terms
qlp,qalāpu(m)
qlt,qullutu
qmʾ,"qamû(m) II; qemûm; quʾʾû(m)"
qmm,qamāmu
qmš,qummušu
qnʾ,"qanû(m) II; qenû"
qnn,"kanānu(m); qanānu(m) I"
qnp,qunnupu
qlpʾ,neqelpû(m)
qpʾ,qapû
qpl,kapālu(m)
qrʾ,qerû(m)
qrb,qerēbu(m)
qrd,qarādu(m) I.II
qrḫ,qarāḫu
qrm,qarāmu
qrn,qarānu(m)
qrr,qarāru(m)
qrš,qarāšu(m)
qšd,qašādu(m)
qtʾ,"qadāʾum; qatû(m) II"
qtl,qatālu(m)
qtn,qatānu(m)
qtp,qatāpu(m)
qtr,qatāru II
qṭʾ,qaṭû
qwʾ,quʾʾû(m)
rʾʾ,"râʾu; reʾû(m)"
rʾb,"raʾābu(m); râbu(m) I; riābu(m)"
rʾd,râdu(m)
rʾḫ,riāḫu(m)
rʾk,râku
rʾm,"râmu(m) II.III; rêmu(m); ruʾʾumu"
rʾq,"rêqu(m); riāqu(m); ruāqu(m)"
rʾs,râsu(m)
rʾṣ,"râṣu(m); rêṣu(m)"
rʾš,"râsu(m); riāšu(m)"
rʾṭ,râṭu(m)
rʾz,raʾāzu
rbʾ,"rabû(m) III.IV; rubbuʾum"
rbb,rabābu(m)
rbk,rabāku(m)
rbq,rabāqum
rbṣ,rabāṣu(m)
rbš,rabāšum
rdʾ,redû(m) I.II
rdd,radādu(m)
rdm,radāmu
rdp,radāpu
rgʾ,ruggû(m)
rgb,"ragābu; ruggubu II"
rgg,ragāgu
rgm,ragāmu(m)
rgš,ragāšum
rḫʾ,reḫû(m)
rḫb,raʾābu(m)
rḫḫ,raḫāḫu(m)
rḫp,ruḫḫupu
rḫṣ,raḫāṣu(m) I.II
rḫš,raḫāšu(m)
rḫt/ṭ,raḫātu
rkb,rakābu(m)
rkk,rakāku
rkn,rakānu(m)
rkp,rakābu(m)
rks/š,rakāsu(m)
rmʾ,ramû(m) II.III
rmk,ramāku(m)
rmm,"ramāmu(m) I; râmu(m) II"
rmṣ,ramāṣu
rpʾ,rapāʾum
rpd,rapādu(m) II
rpq,rapāqu(m)
rps,rapāsu(m)
rpš,rapāšu(m)
rpt/ṭ,rapātu
